"filename", "language", "JSON", "Properties", "JSON with Comments", "TypeScript", "comment", "blank", "total"
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\.env", "Properties", 0, 7, 0, 0, 0, 1, 8
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\.mocharc.json", "JSON", 3, 0, 0, 0, 0, 0, 3
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\nodemon.json", "JSON", 15, 0, 0, 0, 0, 0, 15
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\package-lock.json", "JSON", 4026, 0, 0, 0, 0, 1, 4027
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\package.json", "JSON", 56, 0, 0, 0, 0, 1, 57
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\AssignedWorks\AssignedWorkController.ts", "TypeScript", 0, 0, 0, 11, 0, 3, 14
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\AssignedWorks\AssignedWorkValidator.ts", "TypeScript", 0, 0, 0, 7, 0, 3, 10
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\AssignedWorks\Data\AssignedWork.ts", "TypeScript", 0, 0, 0, 34, 0, 2, 36
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\AssignedWorks\Data\AssignedWorkAnswer.ts", "TypeScript", 0, 0, 0, 12, 0, 2, 14
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\AssignedWorks\Data\AssignedWorkAnswerModel.ts", "TypeScript", 0, 0, 0, 53, 0, 12, 65
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\AssignedWorks\Data\AssignedWorkComment.ts", "TypeScript", 0, 0, 0, 9, 0, 2, 11
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\AssignedWorks\Data\AssignedWorkCommentModel.ts", "TypeScript", 0, 0, 0, 40, 0, 10, 50
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\AssignedWorks\Data\AssignedWorkModel.ts", "TypeScript", 0, 0, 0, 126, 0, 24, 150
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\AssignedWorks\Data\AssignedWorkRepository.ts", "TypeScript", 0, 0, 0, 8, 0, 2, 10
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\AssignedWorks\Services\AssignedWorkService.ts", "TypeScript", 0, 0, 0, 7, 0, 3, 10
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Core\Data\DataSource.ts", "TypeScript", 0, 0, 0, 23, 3, 3, 29
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Core\Data\DeltaContentType.ts", "TypeScript", 0, 0, 0, 11, 0, 2, 13
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Core\Data\Model.ts", "TypeScript", 0, 0, 0, 47, 0, 9, 56
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Core\Data\Pagination.ts", "TypeScript", 0, 0, 0, 28, 0, 5, 33
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Core\Data\Repository.ts", "TypeScript", 0, 0, 0, 54, 0, 11, 65
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Core\Data\Ulid.ts", "TypeScript", 0, 0, 0, 5, 0, 3, 8
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Core\Errors\AlreadyExistError.ts", "TypeScript", 0, 0, 0, 7, 0, 3, 10
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Core\Errors\NotFoundError.ts", "TypeScript", 0, 0, 0, 8, 0, 3, 11
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Core\Errors\UnauthenticatedError.ts", "TypeScript", 0, 0, 0, 7, 0, 3, 10
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Core\Errors\UnauthorizedError.ts", "TypeScript", 0, 0, 0, 7, 0, 3, 10
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Core\Errors\WrongRoleError.ts", "TypeScript", 0, 0, 0, 7, 0, 3, 10
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Core\Request\Context.ts", "TypeScript", 0, 0, 0, 27, 0, 9, 36
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Core\Request\Validator.ts", "TypeScript", 0, 0, 0, 22, 0, 7, 29
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Core\Security\asserts.ts", "TypeScript", 0, 0, 0, 46, 0, 7, 53
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Core\Security\hash.ts", "TypeScript", 0, 0, 0, 10, 0, 3, 13
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Core\Security\jwt.ts", "TypeScript", 0, 0, 0, 32, 0, 8, 40
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Core\Security\permissions.ts", "TypeScript", 0, 0, 0, 17, 0, 4, 21
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Core\Security\roles.ts", "TypeScript", 0, 0, 0, 14, 0, 4, 18
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Core\Utils\transliteration.ts", "TypeScript", 0, 0, 0, 4, 0, 2, 6
